"v^n-2_i,j","v^n-2_i-1,j","v^n-2_i+1,j","v^n-2_i,j-1","v^n-2_i,j+1","v^n-1_i,j","v^n-1_i-1,j","v^n-1_i+1,j","v^n-1_i,j-1","v^n-1_i,j+1","v^n_i,j","v^n_i-1,j","v^n_i+1,j","v^n_i,j-1","v^n_i,j+1","v^n+1_i,j","v^n+1_i-1,j","v^n+1_i+1,j","v^n+1_i,j-1","v^n+1_i,j+1"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.16889e-07,-3.53381e-06,-2.28593e-08,-7.37559e-07,-1.32113e-07,-2.25085e-05,-1.53449e-04,-2.66468e-06,-4.95578e-05,-9.98699e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.32113e-07,-1.34884e-06,-1.03352e-08,-3.16889e-07,-5.29596e-08,-9.98699e-06,-6.83220e-05,-1.21235e-06,-2.25085e-05,-4.25678e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.29596e-08,-5.01510e-07,-4.44359e-09,-1.32113e-07,-1.84355e-08,-4.25678e-06,-2.88273e-05,-5.28440e-07,-9.98699e-06,-1.55603e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.84355e-08,-1.65107e-07,-1.62904e-09,-5.29596e-08,1.60377e-15,-1.55603e-06,-1.03955e-05,-1.96526e-07,-4.25678e-06,7.11588e-15
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.60377e-15,4.48079e-16,4.68190e-16,-1.84355e-08,1.84355e-08,7.11588e-15,8.72571e-15,4.82244e-15,-1.55603e-06,1.55603e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.84355e-08,1.65107e-07,1.62904e-09,1.60377e-15,5.29596e-08,1.55603e-06,1.03955e-05,1.96526e-07,7.11588e-15,4.25678e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.29596e-08,5.01510e-07,4.44359e-09,1.84355e-08,1.32113e-07,4.25678e-06,2.88273e-05,5.28440e-07,1.55603e-06,9.98699e-06
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.32113e-07,1.34884e-06,1.03352e-08,5.29596e-08,3.16889e-07,9.98699e-06,6.83220e-05,1.21235e-06,4.25678e-06,2.25085e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.16889e-07,3.53381e-06,2.28593e-08,1.32113e-07,7.37559e-07,2.25085e-05,1.53449e-04,2.66468e-06,9.98699e-06,4.95578e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.37559e-07,9.09858e-06,4.86039e-08,3.16889e-07,1.65614e-06,4.95578e-05,3.28471e-04,5.69970e-06,2.25085e-05,1.06853e-04
