"p^n-2_i,j","p^n-2_i-1,j","p^n-2_i+1,j","p^n-2_i,j-1","p^n-2_i,j+1","p^n-1_i,j","p^n-1_i-1,j","p^n-1_i+1,j","p^n-1_i,j-1","p^n-1_i,j+1","p^n_i,j","p^n_i-1,j","p^n_i+1,j","p^n_i,j-1","p^n_i,j+1","p^n+1_i,j","p^n+1_i-1,j","p^n+1_i+1,j","p^n+1_i,j-1","p^n+1_i,j+1"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.18197e-05,5.20073e-04,9.18401e-07,2.18562e-05,2.17304e-05,1.78922e-03,7.80967e-03,1.38062e-04,1.79192e-03,1.78298e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.17304e-05,5.19140e-04,9.11566e-07,2.18197e-05,2.15179e-05,1.78298e-03,7.76776e-03,1.37297e-04,1.78922e-03,1.76900e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.15179e-05,5.16707e-04,8.96631e-07,2.17304e-05,2.10280e-05,1.76900e-03,7.67520e-03,1.35624e-04,1.78298e-03,1.73827e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.10280e-05,5.10474e-04,8.65276e-07,2.15179e-05,1.99407e-05,1.73827e-03,7.48105e-03,1.32057e-04,1.76900e-03,1.67204e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.99407e-05,4.94853e-04,8.02621e-07,2.10280e-05,1.76515e-05,1.67204e-03,7.10110e-03,1.24680e-04,1.73827e-03,1.53194e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.76515e-05,4.56882e-04,6.85286e-07,1.99407e-05,1.31859e-05,1.53194e-03,6.42864e-03,1.10039e-04,1.67204e-03,1.24222e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.31859e-05,3.68685e-04,4.84379e-07,1.76515e-05,5.39171e-06,1.24222e-03,5.40466e-03,8.27055e-05,1.53194e-03,6.90316e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.84379e-07,1.31859e-05,1.82284e-08,1.82477e-07,6.85286e-07,8.27055e-05,1.24222e-03,4.44493e-06,3.77595e-05,1.10039e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.85286e-07,1.76515e-05,2.67609e-08,4.84379e-07,8.02621e-07,1.10039e-04,1.53194e-03,6.23290e-06,8.27055e-05,1.24680e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.02621e-07,1.99407e-05,3.22600e-08,6.85286e-07,8.65276e-07,1.24680e-04,1.67204e-03,7.30322e-06,1.10039e-04,1.32057e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.65276e-07,2.10280e-05,3.54860e-08,8.02621e-07,8.96631e-07,1.32057e-04,1.73827e-03,7.89377e-06,1.24680e-04,1.35624e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.96631e-07,2.15179e-05,3.72485e-08,8.65276e-07,9.11566e-07,1.35624e-04,1.76900e-03,8.20134e-06,1.32057e-04,1.37297e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.11566e-07,2.17304e-05,3.81591e-08,8.96631e-07,9.18401e-07,1.37297e-04,1.78298e-03,8.35477e-06,1.35624e-04,1.38062e-04
